state,sex,c34_site,age_group,num_cases,person_years
Alabama,1,91,1,0,748751
Alabama,1,91,2,0,776383
Alabama,1,91,3,2,792473
Alabama,1,91,4,0,811958
Alabama,1,91,5,1,867073
Alabama,1,91,6,1,803453
Alabama,1,91,7,8,747581
Alabama,1,91,8,27,720894
Alabama,1,91,9,73,736737
Alabama,1,91,10,199,763736
Alabama,1,91,11,710,817501
Alabama,1,91,12,1283,806290
Alabama,1,91,13,1717,710285
Alabama,1,91,14,2075,602518
Alabama,1,91,15,2061,432262
Alabama,1,91,16,1593,293645
Alabama,1,91,17,1091,185331
Alabama,1,91,18,609,138559
Alabama,1,91,19,0,0
Alabama,2,91,1,0,722286
Alabama,2,91,2,0,746955
Alabama,2,91,3,2,762052
Alabama,2,91,4,1,785795
Alabama,2,91,5,5,855155
Alabama,2,91,6,2,820403
Alabama,2,91,7,14,778991
Alabama,2,91,8,22,761761
Alabama,2,91,9,57,777854
Alabama,2,91,10,198,801130
Alabama,2,91,11,481,867784
Alabama,2,91,12,974,874487
Alabama,2,91,13,1143,792513
Alabama,2,91,14,1471,687840
Alabama,2,91,15,1543,519501
Alabama,2,91,16,1201,386570
Alabama,2,91,17,748,277171
Alabama,2,91,18,553,288560
Alabama,2,91,19,0,0
Alabama,1,92,1,0,748751
Alabama,1,92,2,0,776383
Alabama,1,92,3,0,792473
Alabama,1,92,4,0,811958
Alabama,1,92,5,0,867073
Alabama,1,92,6,0,803453
Alabama,1,92,7,0,747581
Alabama,1,92,8,1,720894
Alabama,1,92,9,13,736737
Alabama,1,92,10,43,763736
Alabama,1,92,11,169,817501
Alabama,1,92,12,344,806290
Alabama,1,92,13,484,710285
Alabama,1,92,14,649,602518
Alabama,1,92,15,644,432262
Alabama,1,92,16,510,293645
Alabama,1,92,17,300,185331
Alabama,1,92,18,140,138559
Alabama,1,92,19,0,0
Alabama,2,92,1,0,722286
Alabama,2,92,2,0,746955
Alabama,2,92,3,0,762052
Alabama,2,92,4,0,785795
Alabama,2,92,5,0,855155
Alabama,2,92,6,0,820403
Alabama,2,92,7,0,778991
Alabama,2,92,8,0,761761
Alabama,2,92,9,1,777854
Alabama,2,92,10,25,801130
Alabama,2,92,11,59,867784
Alabama,2,92,12,161,874487
Alabama,2,92,13,221,792513
Alabama,2,92,14,337,687840
Alabama,2,92,15,353,519501
Alabama,2,92,16,289,386570
Alabama,2,92,17,161,277171
Alabama,2,92,18,70,288560
Alabama,2,92,19,0,0
Alabama,1,93,1,0,748751
Alabama,1,93,2,0,776383
Alabama,1,93,3,1,792473
Alabama,1,93,4,0,811958
Alabama,1,93,5,0,867073
Alabama,1,93,6,0,803453
Alabama,1,93,7,3,747581
Alabama,1,93,8,10,720894
Alabama,1,93,9,26,736737
Alabama,1,93,10,86,763736
Alabama,1,93,11,238,817501
Alabama,1,93,12,469,806290
Alabama,1,93,13,558,710285
Alabama,1,93,14,704,602518
Alabama,1,93,15,646,432262
Alabama,1,93,16,473,293645
Alabama,1,93,17,309,185331
Alabama,1,93,18,158,138559
Alabama,1,93,19,0,0
Alabama,2,93,1,0,722286
Alabama,2,93,2,0,746955
Alabama,2,93,3,0,762052
Alabama,2,93,4,0,785795
Alabama,2,93,5,0,855155
Alabama,2,93,6,2,820403
Alabama,2,93,7,6,778991
Alabama,2,93,8,12,761761
Alabama,2,93,9,26,777854
Alabama,2,93,10,102,801130
Alabama,2,93,11,216,867784
Alabama,2,93,12,409,874487
Alabama,2,93,13,469,792513
Alabama,2,93,14,525,687840
Alabama,2,93,15,555,519501
Alabama,2,93,16,402,386570
Alabama,2,93,17,259,277171
Alabama,2,93,18,167,288560
Alabama,2,93,19,0,0
Alabama,1,94,1,0,748751
Alabama,1,94,2,0,776383
Alabama,1,94,3,0,792473
Alabama,1,94,4,0,811958
Alabama,1,94,5,0,867073
Alabama,1,94,6,0,803453
Alabama,1,94,7,0,747581
Alabama,1,94,8,1,720894
Alabama,1,94,9,15,736737
Alabama,1,94,10,23,763736
Alabama,1,94,11,104,817501
Alabama,1,94,12,157,806290
Alabama,1,94,13,220,710285
Alabama,1,94,14,219,602518
Alabama,1,94,15,239,432262
Alabama,1,94,16,163,293645
Alabama,1,94,17,94,185331
Alabama,1,94,18,42,138559
Alabama,1,94,19,0,0
Alabama,2,94,1,0,722286
Alabama,2,94,2,0,746955
Alabama,2,94,3,0,762052
Alabama,2,94,4,0,785795
Alabama,2,94,5,0,855155
Alabama,2,94,6,0,820403
Alabama,2,94,7,1,778991
Alabama,2,94,8,1,761761
Alabama,2,94,9,9,777854
Alabama,2,94,10,26,801130
Alabama,2,94,11,85,867784
Alabama,2,94,12,166,874487
Alabama,2,94,13,204,792513
Alabama,2,94,14,243,687840
Alabama,2,94,15,259,519501
